,pIC50,molecule_dictionary.chembl_id,canonical_smiles
0,6.339419087572701,CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
1,5.484536811626732,CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
2,5.136677139879545,CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
3,6.494850021680094,CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1
4,5.3872161432802645,CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O
5,5.481486060122113,CHEMBL103860,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O
6,4.158509134667,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
7,6.657577319177793,CHEMBL104153,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
8,6.6777807052660805,CHEMBL104244,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
9,5.431798275933005,CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC
10,6.040958607678906,CHEMBL104779,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21
11,8.481486060122112,CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1
12,6.522878745280337,CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1
13,5.346787486224656,CHEMBL106232,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
14,5.1249387366083,CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
15,4.054039296422432,CHEMBL1077068,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)=N1
16,4.097997108649271,CHEMBL1077069,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)=N1
17,4.093664958194911,CHEMBL1077085,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3cccs3)SC2=S)=N1
18,4.319664486585437,CHEMBL1077095,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN)=N1
19,4.003050751504619,CHEMBL1077107,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccco3)SC2=S)=N1
20,4.11227020271197,CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1
21,4.8198741248359465,CHEMBL1080272,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1
22,5.301029995663981,CHEMBL1080506,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
23,6.06198090252379,CHEMBL1080812,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12
24,5.568636235841013,CHEMBL1080815,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1
25,5.917214629683551,CHEMBL1080990,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
26,4.301029995663981,CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1
27,6.585026652029182,CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1
28,6.008773924307505,CHEMBL1081849,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
29,6.590066876668706,CHEMBL1082012,Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
